Number,Title,writer,view,date
12899,제1회 첨단기기분석세미나(전계방사현주사전자현미경) 개최 안내,공동실험실습관,120,20201008
12898,2021학년도 전기 대학(원) 외국인특별전형 원서접수 안내,국제교류본부,1629,20201008
12897,충북대학교 2020. 2학기 비교과과정 프로그램 운영 안내,교무과,469,20201008
12896,충북대학교 지자체-대학 협력기반 지역혁신 플랫폼사업 운영규정 일부개정규정(안) 행정예고,충북바이오헬스산업혁신센터,266,20201007
12895,충북대학교 생활과학대학 제2회 지역네트워크 Life Solution 공모전 안내(기간연장) ...,생활과학대학,230,20201007
12894,2020학년도 충북금연지원센터 금연희망자 모집 안내,보건진료원,225,20201007
12893,"장애인 보행로 개선공사 알림(경영대, 사회대 부근)",시설과,97,20201007
12892,[21세기 인문가치포럼] 논문공모전 안내,학생과,233,20201007
12891,코로나19) 피트니스센터 10월 2주차 홈트레이닝 영상 홍보 안내,체육진흥원,188,20201006
12890,2020년 혁신도시 공공기관 온라인 지역인재 합동채용설명회 안내,취업지원본부,317,20201006
12889,제7회 충북대학교 토론 대회 논박 결승전 방청 신청 안내(접수 연장),의사소통센터,213,20201005
12888,2020 크라우드펀딩 교육 안내,충북대 창업보육센터,243,20201005
12887,대학생 통일교육아카데미 모집,통일교육사업단,297,20201005
12886,10월 모의영어시험 시행 안내,국제교류본부,287,20201005
12885,2021학년도 정시 법무대학원 신입생 모집 안내,법무대학원,127,20201005
12884,대학 구성원과 함께하는 대학교육혁신 연구 공모지원 사업 신청기간 연장 안내,교육혁신연구원,111,20201005
12883,2020학년도 2학기 건강센터 보건진료원의 10월 의과대학 전임교원 건강상담 안내,보건진료원,66,20201005
12882,충북대학교 교육대학원 2021학년도 정시 신입생 모집 안내,교육대학원,139,20200929
12881,★ 제 15기 충북대학교 공식 학생홍보대사 최종 합격자 공고 ★,대외협력부,527,20200929
12880,충북대학교 연초연구소 규정 일부개정(안) 행정예고,산학연구본부,65,20200929
12879,2020년도 국비유학(연수)생 추가 모집 안내,국제교류본부,251,20200929
12878,2020학년도 2학기 외국인 교환학생 온라인 버디(Online-Buddy) 선발 안내,국제교류본부,490,20200928
12877,2020 청렴도 측정 안내,총무과,141,20200928
12876,2020학년도 2학기 CBNU-RC 봉사활동 봉사자 모집,학생과,382,20200928
12875,[마감됨] 근로 학생(졸업생) 모집 -코로나19 안심 등교 도우미 사업-,취업지원본부,3198,20200928
12874,청렴서한문,교육부장관,199,20200925
12873,충북대학교 옥외 체육시설 및 주차장 확충사업 설계 제안공모 공고,시설과,179,20200925
12872,2021학년도 정시 대학원(일반대학원) 신입생 모집 안내,입학본부 입학과,2144,20200924
12871,2020학년도 현장실습지원센터 동기 계절학기 해외 인턴십 운영예고 및 참여희망자 모집,현장실습지원센터,488,20200924
12870,2021학년도 예비대학생을 위한 SW기초교육 컴퓨팅 사고력 기르기,SW중심대학사업단,196,20200924
12869,2021학년도 1학기 영어권 자매대학 파견 교환학생 선발 안내,국제교류본부,288,20200923
12868,"2021학년도 1학기 영어권(아시아, 유럽) 자매대학 파견 교환학생 선발 안내",국제교류본부,221,20200923
12867,2021학년도 1학기 미국 자매대학 복수학위 파견학생 선발 안내,국제교류본부,127,20200923
12866,2021학년도 1학기 영어권 자매대학 파견 교환학생[어학학부과정] 선발 안내,국제교류본부,135,20200923
12865,"제 3회 첨단기기분석세미나 개최 안내(나노인덴터 및 스크래치시험기, 주사탐침현미경)",공동실험실습관,52,20200923
12864,제2회 첨단기기분석세미나 개최 안내(엑스선회절분석기),공동실험실습관,54,20200923
12863,2020년도 2학기 충북대학교 SW중심대학사업단 SW융합전공 장학생 선발 공고,SW중심대학사업단,326,20200923
12862,"교양교과목 개편사업 공모 안내(기간연장, 교과목 신설 포함)",창의융합교육본부,276,20200923
12861,"2021학년도 1학기 비영어권(독일, 프랑스, 러시아) 및 스페인 자매대학 파견 교환학생  ...",국제교류본부,164,20200923
12860,[마감] 2020 나라사랑 봉사활동(비대면 환경정화) 봉사자 모집,학생과,551,20200923
12859,[한국표준협회] 블록체인 및 인공지능 무료교육 안내,공동훈련센터,193,20200923
12858,좋은 강의 에세이 공모전 접수 안내,스마트교수학습개발원,169,20200922
12857,제 15기 충북대학교 공식학생홍보대사 1차 서류 합격자 발표,대외협력부,487,20200922
12856,충북대 창업보육센터 입주기업 모집공고,창업보육센터,69,20200922
12855,코로나19) 피트니스센터 9월 4주차 홈트레이닝 영상 홍보안내,체육진흥원,102,20200922
12854,2021학년도 1학기 일본 홋카이도대학교 파견 교환학생 선발 안내,국제교류본부,218,20200921
12853,충북대학교 교육공무원(조교)모집공고(부속농장),농업생명환경대학,230,20200921
12852,충북대학교 생활과학대학 제2회 지역네트워크 Life Solution 공모전 안내,생활과학대학,148,20200921
12851,2020년 충북대학교 현장실습지원센터 현장실습 체험수기 공모전 개최,현장실습지원센터,219,20200921
12850,2020학년도 2학기 9월 건강센터 보건진료원의 의과대학 전임교원 건강상담 안내,보건진료원,76,20200921
12849,대학 구성원과 함께하는 대학교육혁신 연구 공모지원 사업 안내,교육혁신연구원,166,20200918
12848,제1회 첨단기기분석세미나 개최 안내(입도분석기/ 제타전위측정기),공동실험실습관,79,20200918
12847,2020년도 후기 자연계 대학원 전문연구요원 편입대상자 선발 공고 안내,산학협력단,85,20200918
12846,2020 하반기 창업동아리 모집 안내,LINC+,673,20200918
12845,통일 후 아이디어 공모전,통일교육 사업단,182,20200918
12844,2020-2학기 인재양성원 정기 입실시험 공고,인재양성원,749,20200918
12843,2021학년도 1학기 영국 쉐필드대학교 파견 교환학생 선발 안내,국제교류본부,176,20200918
12842,나만의 학습법 수기 공모전 접수,스마트교수학습개발원,895,20200918
12841,2021학년도 1학기 비영어권(프랑스) 자매대학 파견 교환학생 선발 안내(1차),국제교류본부,196,20200916
12840,[한국과학창의재단] 2020년 하반기 대학생 온라인 교육기부 모집,학생과,284,20200916
12839,코로나19) 피트니스센터 9월 3주차 홈트레이닝 영상 홍보안내,체육진흥원,160,20200915
12838,대표홈페이지 접속 장애 발생 및 추가 작업 안내,대외협력부,135,20200915
12837,코로나19) 피트니스센터 헬스 환불 신청 안내,체육진흥원,227,20200914
12836,2021학년도 1학기 영국 리젠츠런던대학교 파견 교환학생 선발 안내,국제교류본부,290,20200914
12835,통일교육선도대학 사업단 평화·​통일 석·​박사 학위논문 지원사업 공모,통일교육사업단,74,20200914
12834,입학본부 대학 수시모집 입학전형업무 보조(아르바이트) 모집(연장),입학본부,437,20200914
12833,개교 70주년 기념 엠블럼 및 캐치프레이즈 공모전 접수,대외협력부,945,20200914
12832,★ 충북대학교 공식 학생홍보대사 해울 15기 모집 ★,대외협력부,845,20200911
12831,충북대학교 의과대학 3호관 신축 설계공모 서면질의 답변서,시설과,155,20200909
12830,`20학년도 2학기 대학(원) 재학생 등록금 추가 납부 기간 안내(수료후 등록생 포함),재무과,560,20200911
12829,2021학년도 1학기 일본 자매대학 파견 교환학생 선발 안내,국제교류본부,258,20200911
12828,2020년 제5회 충북대학교 대학평의원회 임시회 결과 공개,대학평의원회,145,20200910
12827,2020 가을학기 토익특별반 접수안내,국제교류본부,467,20200904
12826,[언택트(untact) 전자정보박람회] 행사 안내,도서관,544,20200901
12825,충북대학교 「핵심역량 기반 비교과통합관리시스템 명칭 공모」 결과 안내,교무과,194,20200909
12824,★ 2020학년도 2학기 수업운영 변경 주요내용 추가알림(20.9.9.기준),학사지원과,11257,20200909
12823,2020년 9월 모의영어시험 시행 안내,국제교류본부,376,20200908
12822,입학본부 입학전형 업무 보조 아르바이트 모집,입학본부 입학과,745,20200908
12821,코로나19) 9월 2주차 홈트레이닝 영상 홍보 안내,체육진흥원,197,20200908
12820,[LINC플러스] 산학연계 교육과정 영상콘텐츠 공모전 개최,LINC+사업단,251,20200904
12819,2020-2학기 Learning Mate 학습동아리 참여자 모집 안내,스마트교수학습개발원,1056,20200907
12818,충북대학교 대학평의원회 규정 일부개정규정(안) 행정예고,교무과,51,20200907
12817,2021학년도 일본 니가타현 현비유학생(연수생) 모집 관련 변경사항 안내,국제교류본부,209,20200904
12816,2020 가을학기 외국어강좌 접수안내,국제교류본부,273,20200904
12815,2020학년도 2학기 독서인증제 시행 안내,의사소통센터,295,20200902
12814,교양교과목 개편사업 공모 안내,창의융합교육본부,609,20200904
12813,2020-2학기 Level-Up 튜터링 참여자 모집 안내,스마트교수학습개발원,717,20200904
12812,2020년 SW중심대학사업단 제 1회 소프트웨어 영어 말하기 대회,SW중심대학사업단,238,20200902
12811,입학본부 대학 수시모집 입학전형업무 보조(아르바이트) 모집,입학과,575,20200903
12810,2020학년도 후기 대학원 계약학과(산업인공지능학과) 추가모집 합격자 발표,입학본부 입학과,136,20200903
12809,2020. 생활과학교실 온라인 3기 학생모집 안내,과학기술진흥센터,200,20200902
12808,2020 거점 국립대학교 통합 온라인 채용박람회 안내,취업지원본부,320,20200901
12807,코로나19) 피트니스센터 9월 1주차 홈트레이닝 영상 홍보 안내,체육진흥원,206,20200901
12806,"(수정)충북대학교 『창업보육센터』 BI실 입주기업 모집 공고(20년 10월 1일, 11월  ...",창업보육센터,168,20200831
12805,청주권 독서동아리 지원 사업 [책으로 만드는 세상] 참여 모집 (비대면 프로그램),도서관,289,20200831
12804,충북대학교 생활과학대학 제2회 지역네트워크 Life Solution 공모전 안내,생활과학대학,298,20200831
12803,2020학년도 2학기 사회봉사교과목 비대면 강의 안내,학생과,679,20200831
12802,(외국인유학생) 2020학년도 후기(제2학기) 학생생활관 입주일정 변경안내,국제교류본부,101,20200828
12801,충북대학교 비교과통합관리시스템(신규) 명칭 선호도 조사 안내,교무과,694,20200828
12800,온라인 ‘강의 제작 운영 지원 온라인 원격 도우미’ 모집 공고,학사지원과,614,20200828
12799,2021학년도 일본 니가타현 현비유학생(연수생) 모집 안내,국제교류본부,238,20200828
12798,코로나19) 피트니스센터 임시휴관 연장 안내,체육진흥원,233,20200827
12797,`20학년도 2학기 대학(원) 재학생 등록금 추가 납부 안내(수료후 등록생 포함),재무과,1856,20200827
12796,2020 건설인재 언택트 일자리박람회,취업지원본부,159,20200827
12795,독서 모임 ‘책으로 통(通)하다’ 제37기(1차) 참여자 모집,의사소통센터,341,20200827
12794,충북대 글로벌[G]-테크벤처센터(BI) 입주기업 모집 공고,충북대G테크벤처센터,58,20200827
12793,"충북대학교 『창업보육센터』 BI실 입주기업 모집 공고(20년 10월 1일, 11월 1일자) ...",창업보육센터,49,20200826
12792,올바른 소셜미디어 활용 캠페인 공모전,학생과,611,20200826
12791,2020학년도 1학기 영어권 SAF 자매대학 파견 교환학생 선발 안내,국제교류본부,374,20200826
12790,2020학년도 2학기 국가근로장학금 취업연계중점대학 학생 및 근로기관 모집,학생과,618,20200826
12789,★ 2020학년도 2학기 수업운영 변경 주요내용 알림,학사지원과,7110,20200825
12788,2020학년도 2학기 대학원 신입생 학생증 비대면 신청 안내,학생과,202,20200826
12787,생협 별빛식당(신학2층) 봉사장학생 모집,소비자생활협동조합,370,20200825
12786,코로나19) 체육진흥원 피트니스센터 8월 5주차 홈트레이닝 영상 홍보,체육진흥원,249,20200824
12785,충북대학교 대응자금 지원 지침 제정(안) 행정예고 및 의견수렴,산학연구본부,215,20200821
12784,"2020년도 예비군훈련, 비대면 원격교육으로 전환 실시",예비군연대,1543,20200821
12783,"생협 근로장학생 선발(별빛식당, 파리바게뜨, 서점)",소비자생활협동조합,582,20200821
12782,2020.후기 대학원(일반대학원) 석사과정 추가모집 및 계약학과 입학전형 합격자 발표,입학본부 입학과,619,20200821
12781,2020학년도 후기 대학원 계약학과(산업인공지능학과) 추가모집 안내,입학본부 입학과,206,20200820
12780,2020년도 아셈 듀오 스웨덴(ASEM DUO-Sweden)  장학생 2차 모집 안내,국제교류본부,375,20200820
12779,제7회 충북대학교 토론 대회 논박 개최 안내,의사소통센터,484,20200819
12778,집중호우로 인한 특별재난지역 훈련 면제 관련 안내,예비군연대,122,20200819
12777,충북대학교 학칙 일부개정학칙(안) 행정예고,교무과,269,20200818
12776,[산학협력단] 2020 충북대학교 BIZ-idea 수요조사,산학협력단 지식재산권팀,169,20200818
12775,[마감]2020 나라사랑 봉사활동(수해복구) 참가자 모집(8월 20일),학생과,267,20200818
12774,충북대학교 박물관 서포터즈 모집,박물관,483,20200818
12773,충북대학교 지자체-대학 협력기반 지역혁신 플랫폼 사업 운영 규정(안) 행정예고 및 의견수렴 ...,기획과,183,20200818
12772,충북대학교 의과대학 3호관 신축 설계공모 공고,시설과,296,20200814
12771,학생생활관 생활조교(동장) 모집 안내,학생생활관,446,20200814
12770,‘20학년도 2학기 ‘수강신청 개강전 변경기간’ 변경 안내,학사지원과,1556,20200808
12769,2020년 학생재능기부 전공 연계 멘토링(연장),학생과,899,20200803
12768,[LINC] 지역사회기여 프로젝트 모집 안내,LINC+,394,20200813
12767,2020학년도 후기 대학원 학.석사연계과정 석사과정 합격자 발표,입학본부 입학과,655,20200813
12766,2020통일교육 리더 캠프 참여 안내,통일교육 선도대학,306,20200812
12765,충북대학교 대학평의원회 아르바이트 모집 공고,대학평의원회,884,20200812
12764,2020년도 국공립대학 청렴도측정 관련 개인정보 제3자제공 안내,총무과,94,20200812
12763,국립아시아문화전당 ACC 사진 공모전,학생과,161,20200812
12762,2020학년도 후기 대학(원) 외국인특별전형 등록포기 안내,국제교류본부,82,20200731
12761,충북대학교 교육공무원 공무국외출장 등에 관한 지침 제정(안) 행정예고 및 의견수렴,교무과,45,20200811
12760,2020년도 강소연구개발특구 기술이전사업화사업 추가공고,강소특구지원팀,40,20200811
12759,2021-2022 스위스 정부초청장학생 선발안내,국제교류본부,266,20200811
12758,2020 청주시시설관리공단 대학생 나누미 서포터즈 모집,학생과,298,20200811
12757,2020학년도 후기 대학(원) 외국인특별전형 학생생활관비(기숙사비) 납부/입주안내,국제교류본부,304,20200810
12756,[마감]2020학년도 나라사랑 봉사활동(수해복구) 참가자 모집,학생과,560,20200810
12755,생협 2학기 근로장학생 모집,소비자생활협동조합,629,20200810
12754,(국내체류 합격자 대상) 2020학년도 후기 대학(원) 외국인특별전형 합격자 추가 등록안내 ...,국제교류본부,115,20200810
12753,충북대학교 핵심역량 기반 비교과통합관리시스템(신규) 명칭 공모전,교무과,871,20200810
12752,2020학년도 후기 대학원 석사과정 추가모집 및 계약학과모집 면접.전공구술고사 일정 등 안 ...,입학과,736,20200806
12751,코로나19) 체육진흥원 학내체육시설 이용 재개 안내,체육진흥원,384,20200806
12750,충북대학교 인권센터 규정 일부개정규정(안) 행정예고 및 의견수렴,인권센터,114,20200806
12749,"충북대학교 『창업보육센터』 BI실 입주기업 모집 공고(20년 9월 1일, 10월 1일자)  ...",창업보육센터,78,20200806
12748,"충북대학교 『학연산공동기술연구원』 일반기업실 입주기업 모집 공고(20년 9월 1일, 10 ...",학연산공동기술연구원,45,20200806
12747,2021-1학기 일본 메이지대학교 파견 교환학생 선발안내,국제교류본부,340,20200805
12746,"코로나19) 체육진흥원 피트니스센터 8월 2,3주차 홈트레이닝 영상 홍보",체육진흥원,212,20200805
12745,`20학년도 2학기 학사학위취득 유예학생 등록금 납부 안내,재무과,544,20200805
12744,2020학년도 제2학기 학생생활관 생활관비 안내,학생생활관,496,20200804
12743,충북대학교 생태환경독성연구소 규정 일부개정(안) 행정예고,생태환경독성연구소,56,20200804
12742,[평생교육원] 국비지원 한식조리기능사·화훼장식기능사 학습자 모집 안내,평생교육원,146,20200804
12741,[평생교육원] 2020학년도 제2학기 학습자 모집 안내,평생교육원,164,20200804
12740,(KISTI) 과학기술 빅데이터 분석가 양성과정 훈련생 모집,취업지원본부,234,20200803
12739,충북대학교 사범대 등 2개동 내진보강 제안공모 결과 공고,시설과,374,20200803
12738,2020 청주 문화도시조성사업 코로나 19극복을 위한 상생 프로젝트 시민 아이디어 제안 공 ...,학생과,173,20200803
12737,2020학년도 2학기 강좌별 수업운영 계획(방식) 안내(20.7.31. 2200현재),학사지원과,1010,20200731
12736,"[본관,양성재,양진재]2020학년도 제2학기 학생생활관 생활관생 모집 안내",학생생활관,682,20200731
12735,[양현재]2020학년도 제2학기 학생생활관 유학생생활관 생활관생 모집 안내,학생생활관,132,20200731
12734,2020 사회봉사활동 학생모집,과학기술진흥센터,647,20200730
12733,2021-2022 독일정부초청장학생(DAAD 장학생) 선발안내,국제교류본부,341,20200730
12732,국립대학 육성사업 동영상 UCC 공모전,기획과,177,20200730
12731,2019학년도 후기 학위수여식 취소 안내,총무과,1450,20200730
12730,거점국립대학 원격수업 학점교류 수강신청 안내,학사지원과,562,20200730
12729,2020학년도 2학기 강좌별 수업운영 계획(방식) 안내,학사지원과,7245,20200729
12728,과반수 노동조합에 대한 공고,총무과,186,20200728
12727,2020학년도 고전독파단 참가자 모집,의사소통교육센터,2585,20200720
12726,NGO를 배우는 시간 굿네이버스 NGO Traveler 2기 모집 홍보,학생과,270,20200727
12725,[충북대 공동훈련센터] 취업연계 국비무료 과정 교육생 모집(식품/ IT·신성장산업분야),공동훈련센터,168,20200727
12724,2020학년도 2학기 장애대학생 교육활동 지원 국가근로봉사 장학생 선발 안내,장애지원센터,259,20200727
12723,개교 70주년 기념 엠블럼 및 캐치프레이즈 공모전,대외협력부,2202,20200727
12722,2020학년도 2학기 사회봉사교과목 수강신청 안내,학생과,806,20200727
12721,코로나19) 체육진흥원 피트니스센터 7월 5주차 홈트레이닝 영상 홍보 안내,체육진흥원,87,20200727
12720,청주개신 행복주택 입주자 추가 모집 알림,학생과,572,20200727
12719,(도서관 골든마일리지 Round 3) UCC 영상 공모전,도서관,222,20200724
12718,중원문화연구소  『중원문화연구』  제26집 원고 모집 안내,중원문화연구소,137,20200723
12717,대학본부(N10) 주변 일시 주차제한 알림,시설과,231,20200722
12716,4.16재단청소년창작경연 대회 별꿈 시즌4  참여 안내,학생과,182,20200722
12715,핀셋형 의사소통교육 프로그램 전문 인력 풀 접수 안내,의사소통센터,1289,20200722
12714,개신가족 자녀를 위한 2020년 여름방학 실시간 중국어 캠프 참가자 모집,평생교육원(공자학원),283,20200721
12713,2020년도 「청년TLO 육성사업 희망 취업자」 모집 공고,산학협력단,654,20200721
12712,연구장비기술개발사업 온라인 공청회 7.28(화) 15시,나노과학기술연구소,60,20200721
12711,2020년도 충북청주 강소연구개발특구 세부지원 사업 4차 공고,강소특구지원팀,109,20200720
12710,2020학년도 건강센터 학생생활상담소 여름방학 특집 마음성장 프로그램 안내,학생생활상담소,187,20200720
12709,★ 2020학년도 2학기 수업운영 계획,학사지원과,21894,20200720
12708,`20학년도 2학기 재학생 등록금 납부 안내,재무과,12422,20200720
12707,2020-2학기 온라인 학기제 파견 교환학생(어학) 추가 선발안내,국제교류본부,255,20200720
12706,2020학년도 후기 대학원 계약학과(전자정보공학과/화장품산업학과) 모집 안내,입학본부 입학과,270,20200720
12705,코로나19) 체육진흥원 7월 4주차 피트니스센터 홈트레이닝 영상 홍보 안내,체육진흥원,80,20200720
12704,2020학년도 후기 대학(원) 외국인특별전형 합격자 발표 / 등록안내,국제교류본부,3078,20200714
12703,2020학년도 제2학기 학생생활관 일정 보류 안내,학생생활관,279,20200717
12702,은하수(교직원)식당 식권 근로학생 모집,소비자생활협동조합,649,20200717
12701,2020년 제4회 충북대학교 대학평의원회 임시회 결과 공개,대학평의원회,311,20200717
12700,2020. 온라인생활과학교실 학생모집 안내,과학기술진흥센터,724,20200716
12699,2021학년도 전기 대학(원) 외국인특별전형(전교육과정이수자) 원서접수 안내,국제교류본부,65,20200701
12698,2020학년도 후기 추가 교육대학원 신입생 모집 안내,교육대학원,126,20200714
12697,2020년도 후기대학원 신입생 추가모집  국내유일 『연구장비개발 전공』 석사과정,물리학과 연구장비개발 전공,203,20200713
12696,코로나19) 체육진흥원 피트니스센터 홈트레이닝 영상 안내,체육진흥원,317,20200713
12695,2020학년도 후기 대학원 계약학과(산업인공지능학과) 모집요강 공지,입학본부 입학과,419,20200713
12694,2020학년도 후기 대학원(일반대학원) 석사과정 신입생 추가모집요강 공지,입학본부 입학과,855,20200713
12693,2020년 월드캠프 안내,학생과,605,20200713
12692,[수강안내] 2020학년도 하계 대학원 논문제출자격 외국어시험 대체강좌,국제교류본부,175,20200710
12691,「건강검진 덕분에 더! 건강하게 」운영 안내,총무과,364,20200710
12690,충북대학교 평생사제제 운영규정 일부개정규정(안) 의견수렴,학생과,690,20200709
12689,충북대글로벌벤처센터 입주기업 모집,G테크벤처센터,104,20200709
12688,[대학생 멘토링 지원사업] 대학생 멘토단 2차 모집 안내,학생과,921,20200707
12687,코로나19) 체육진흥원 피트니스센터 헬스 환불신청 접수 마감 안내,체육진흥원,200,20200707
12686,2020학년도 제2학기 학생생활관 생활관생 추가모집 안내,학생생활관,555,20200707
12685,2020학년도 제2학기 급식제도 선택 및 생활관비 납부 안내,학생생활관,418,20200707
12684,2020 충북콘텐츠코리아 랩 라이징스타콘 모집,학생과,315,20200706
12683,신입생 정신건강 상태 검사 신청 안내,학생생활상담소,350,20200706
